DSCR,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
1.5,51.0,1.0,1.0,333.485669643225,398.08370782769947,-0.284
1.51,51.0,1.0,1.0,333.485669643225,398.0779190458978,-0.284
1.52,51.0,1.0,1.0,333.485669643225,398.07086470689256,-0.284
1.53,51.0,1.0,1.0,333.485669643225,398.06226842053235,-0.284
1.54,51.0,1.0,1.0,333.485669643225,398.0517924951482,-0.284
1.55,51.0,1.0,1.0,333.485669643225,398.0390236034164,-0.284
1.56,51.0,1.0,1.0,333.485669643225,398.0234546711911,-0.284
1.57,51.0,1.0,1.0,333.485669643225,398.0044617789549,-0.284
1.58,51.0,1.0,1.0,333.485669643225,397.9812743787411,-0.284
1.59,51.0,1.0,1.0,333.485669643225,397.95293640329385,-0.284
1.6,51.0,1.0,1.0,333.485669643225,397.9182547372631,-0.284
1.61,51.0,1.0,1.0,333.485669643225,397.87572980081893,-0.284
1.62,51.0,1.0,1.0,333.485669643225,397.82346034097463,-0.284
1.63,51.0,1.0,1.0,333.485669643225,397.759009905945,-0.284
1.64,51.0,1.0,1.0,333.485669643225,397.67921528398557,-0.284
1.65,51.0,1.0,1.0,333.485669643225,397.57990418368536,-0.284
1.66,51.0,1.0,1.0,333.485669643225,397.4554665486269,-0.284
1.67,51.0,1.0,1.0,333.485669643225,397.29818127162577,-0.284
1.68,51.0,1.0,1.0,333.485669643225,397.0971175223601,-0.284
1.69,51.0,1.0,1.0,333.485669643225,396.8362625654646,-0.284
1.7,51.0,1.0,1.0,333.485669643225,396.491172641551,-0.284
1.71,51.0,1.0,1.0,333.485669643225,396.0226589558476,-0.284
1.72,51.0,1.0,1.0,333.485669643225,395.3642837182328,-0.284
1.73,51.0,1.0,1.0,333.485669643225,394.39721999993026,-0.284
1.74,51.0,1.0,1.0,333.485669643225,392.9085377684608,-0.284
1.75,51.0,1.0,1.0,333.485669643225,390.64490519504557,-0.284
1.76,51.0,1.0,1.0,333.485669643225,388.4168206356229,-0.284
1.77,51.0,1.0,1.0,333.485669643225,388.9607800834115,-0.284
1.78,51.0,1.0,1.0,333.485669643225,390.92440115426365,-0.284
1.79,51.0,1.0,1.0,333.485669643225,392.57993880213235,-0.284
1.8,51.0,1.0,1.0,333.485669643225,393.7963457077883,-0.284
1.81,51.0,1.0,1.0,333.485669643225,394.6776139103466,-0.284
1.82,51.0,1.0,1.0,333.485669643225,395.31615588081917,-0.284
1.83,51.0,1.0,1.0,333.485669643225,395.77807706400694,-0.284
1.84,51.0,1.0,1.0,333.485669643225,396.10967798660465,-0.284
1.85,51.0,1.0,1.0,333.485669643225,396.3436411543318,-0.284
1.86,51.0,1.0,1.0,333.485669643225,396.503327365151,-0.284
1.87,51.0,1.0,1.0,333.485669643225,396.6056365851112,-0.284
1.88,51.0,1.0,1.0,333.485669643225,396.66291759484534,-0.284
1.89,51.0,1.0,1.0,333.485669643225,396.68425780631634,-0.284
1.9,51.0,1.0,1.0,333.485669643225,396.6763645757618,-0.284
1.91,51.0,1.0,1.0,333.485669643225,396.6441716816929,-0.284
1.92,51.0,1.0,1.0,333.485669643225,396.5912554449747,-0.284
1.93,51.0,1.0,1.0,333.485669643225,396.5201131608491,-0.284
1.94,51.0,1.0,1.0,333.485669643225,396.43233434335895,-0.284
1.95,51.0,1.0,1.0,333.485669643225,396.3286773860191,-0.284
1.96,51.0,1.0,1.0,333.485669643225,396.20904647207675,-0.284
1.97,51.0,1.0,1.0,333.485669643225,396.072342259472,-0.284
1.98,51.0,1.0,1.0,333.485669643225,395.9161293098666,-0.284
1.99,51.0,1.0,1.0,333.485669643225,395.7360119559297,-0.284
2.0,51.0,1.0,1.0,333.485669643225,395.5245221457125,-0.284
2.01,51.0,1.0,1.0,333.485669643225,395.2691622496611,-0.284
2.02,51.0,1.0,1.0,333.485669643225,394.9497143749277,-0.284
2.03,51.0,1.0,1.0,333.485669643225,394.53776572489494,-0.284
2.04,51.0,1.0,1.0,333.485669643225,394.0362559937893,-0.284
2.05,51.0,1.0,1.0,333.485669643225,393.8976769734807,-0.284
2.06,51.0,1.0,1.0,333.485669643225,396.2990479515919,-0.284
2.07,51.0,1.0,1.0,333.485669643225,400.1875346694795,-0.284
2.08,51.0,1.0,1.0,333.485669643225,403.00975520650303,-0.284
2.09,51.0,1.0,1.0,333.485669643225,405.1276882624264,-0.284
2.1,51.0,1.0,1.0,333.485669643225,406.89500255368495,-0.284
2.11,51.0,1.0,1.0,333.485669643225,408.46253983743463,-0.284
2.12,51.0,1.0,1.0,333.485669643225,409.9011121587591,-0.284
2.13,51.0,1.0,1.0,333.485669643225,411.24905843422323,-0.284
2.14,51.0,1.0,1.0,333.485669643225,412.5296250536849,-0.284
2.15,51.0,1.0,1.0,333.485669643225,413.758122863271,-0.284
2.16,51.0,1.0,1.0,333.485669643225,414.9452620976453,-0.284
2.17,51.0,1.0,1.0,333.485669643225,416.0988752285221,-0.284
2.18,51.0,1.0,1.0,333.485669643225,417.2248840248069,-0.284
2.19,51.0,1.0,1.0,333.485669643225,418.32788031108333,-0.284
2.2,51.0,1.0,1.0,333.485669643225,419.41149478968816,-0.284
2.21,51.0,1.0,1.0,333.485669643225,420.4786424596645,-0.284
2.22,51.0,1.0,1.0,333.485669643225,421.5316924434486,-0.284
2.23,51.0,1.0,1.0,333.485669643225,422.57258945391885,-0.284
2.24,51.0,1.0,1.0,333.485669643225,423.6029431361685,-0.284
2.25,51.0,1.0,1.0,333.485669643225,424.62409533754663,-0.284
2.26,51.0,1.0,1.0,333.485669643225,425.6371717377801,-0.284
2.27,51.0,1.0,1.0,333.485669643225,426.6431220804355,-0.284
2.28,51.0,1.0,1.0,333.485669643225,427.64275189021436,-0.284
2.29,51.0,1.0,1.0,333.485669643225,428.6367477022872,-0.284
2.3,51.0,1.0,1.0,333.485669643225,429.6256972739821,-0.284
2.31,51.0,1.0,1.0,333.485669643225,430.61010587569706,-0.284
2.32,51.0,1.0,1.0,333.485669643225,431.5904095014778,-0.284
2.33,51.0,1.0,1.0,333.485669643225,432.56698564877286,-0.284
2.34,51.0,1.0,1.0,333.485669643225,433.54016217346623,-0.284
2.35,51.0,1.0,1.0,333.485669643225,434.5102246271599,-0.284
2.36,51.0,1.0,1.0,333.485669643225,435.4774223902779,-0.284
2.37,51.0,1.0,1.0,333.485669643225,436.44197380704395,-0.284
2.38,51.0,1.0,1.0,333.485669643225,437.4040705207768,-0.284
2.39,51.0,1.0,1.0,333.485669643225,438.363881403144,-0.284
2.4,51.0,1.0,1.0,333.485669643225,439.3215555587242,-0.284
2.41,51.0,1.0,1.0,333.485669643225,440.2772251490825,-0.284
2.42,51.0,1.0,1.0,333.485669643225,441.23100716280834,-0.284
2.43,51.0,1.0,1.0,333.485669643225,442.1830075489768,-0.284
2.44,51.0,1.0,1.0,333.485669643225,443.1333215130079,-0.284
2.45,51.0,1.0,1.0,333.485669643225,444.0820344335555,-0.284
2.46,51.0,1.0,1.0,333.485669643225,445.0292241432718,-0.284
2.47,51.0,1.0,1.0,333.485669643225,445.97494767232206,-0.284
2.48,51.0,1.0,1.0,333.485669643225,446.91928562270186,-0.284
2.49,51.0,1.0,1.0,333.485669643225,447.86230632269337,-0.284
2.5,51.0,1.0,1.0,333.485669643225,448.8040647298141,-0.284
